Salida					Destino								Distancia - Fórmula		Distancia - plataforma		Costo Trayecto							
Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	Terminal	Latitud (DD)	Longitud (DD)	Latitud (rad)	Longitud (rad)	delta lat	delta long	a	distancia (km)	distancia (mi)	distancia (km)	distancia (mi)	Flete	BAF	CAF 	THC O	DOC 	THC D	LSS	Total 
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Port Everglades	25,8576	-81,3866	0,451300257	-1,420464137	75,96574026	-1,601973492	0,539217032	10507,76059	5673,736822	2085	1125,809935	800	386	44,00	110	30	440	75	1885
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Rotterdam	51,92423	4,50125	0,906248775	0,078561633	76,42068878	-0,102947722	0,240989615	6538,308161	3530,403974	8500	4589,632829	950	371	52,25	110	30	260,39	75	1848,64
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	75,69594936	-1,499484966	0,475661899	9697,304716	5236,125657	0	0								
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Callao	-12,05226	-77,13911	-0,210351619	-1,346331452	75,30408838	-1,527840807	0,467037854	9587,234911	5176,692716	3042	1642,548596	800	149	44,00	110	30	75	75	1283
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Valparaiso	-33,03932	-71,62625	-0,576644917	-1,250113893	74,93779508	-1,431623249	0,410636058	8862,71697	4785,484325	4445	2400,107991	646	149	35,53	110	30	150	75	1195,53
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Balboa	8,9553	-79,5558	0,156299471	-1,388510649	75,67073947	-1,570020004	0,508644149	10117,69264	5463,116974	1347	727,3218143	981	149	53,96	110	30	230	75	1628,955
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Manzanillo (Mx)	19,11695	-104,34214	0,33365372	-1,821113892	75,84809372	-2,002623247	0,715378512	12844,75005	6935,610177	13122	7085,313175	850	149	46,75	110	30	303,82	75	1564,57
Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	Miami	25,77417	-80,17111	0,449844128	-1,399249834	75,96428413	-1,58075919	0,529665571	10385,76423	5607,864055	207	111,7710583	800	386	44,00	110	30	440	75	1885
Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	Kingston	17,99702	-76,79358	0,314107255	-1,340300815	75,84249725	-1,521925188	0,49701762	9969,541692	5383,121864	14642	7906,047516	750	149	41,25	110	30	290	75	1445,25
Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	Barranquilla	10,98300	-74,95000	0,191689512	-1,308124274	75,72007951	-1,489748647	0,472962624	9662,865041	5217,52972	1353	730,5615551	800	149	44,00	110	30	102	75	1310
Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	75,7245788	-1,476641922	0,466935168	9585,923631	5175,984682	186	100,4319654	800	149	44,00	110	30	102	75	1310
Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	Rio Haina	18,41700	-70,01900	0,321437288	-1,222062089	75,84982729	-1,403686461	0,442264285	9270,230166	5005,523847	1072	578,8336933	700	149	38,50	110	30	150	75	1252,5
Cartagena Sprc	10,40631	-75,52839	0,181624372	-1,318219084	Miami	25,77417	-80,17111	0,449844128	-1,399249834	75,97823413	-1,580874207	0,532719125	10424,74861	5628,913935	207	111,7710583	800	386	44,00	110	30	440	75	1885
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Savannah	32,08354	81,09983	0,559963409	1,415459056	70,19446	1,093895581	0,463026852	9536,001137	5149,028691	2220	1198,704104	720	149	39,60	175	55	440	75	1653,6
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Cristobal	9,35440	-79,9066	0,16326508	-1,394633264	69,79777	-1,71619674	0,602395295	11321,5606	6113,153674	300	161,987041	667	149	36,69	175	55	220	75	1377,685
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	69,21630	-1,130237524	0,230055738	6374,132362	3441,756135	192	103,6717063	818	149	44,99	175	55	226,29	75	1543,28
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Navegantes	-26,89940	-48,65530	-0,469483097	-0,849195184	69,16502	-1,170758659	0,23695533	6478,037839	3497,860604	6100	3293,736501	1400	149	77,00	175	55	215,77	75	2146,77
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Poto Itapoa	-26,17904	-48,60622	-0,456910443	-0,848338576	69,17759	-1,169902052	0,238490248	6501,009983	3510,26457	6100	3293,736501	1199	149	65,95	175	55	179,63	75	1898,575
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Paranagua	-25,50469	-48,51082	-0,445140815	-0,846673532	69,18936	-1,168237007	0,239650092	6518,334939	3519,619298	6400	3455,723542	686	149	37,73	175	55	228,49	75	1406,22
Caucedo	18,42423	-69,63450	0,321563476	-1,215351298	Santos	-23,96083	-46,33361	-0,418195375	-0,808674049	69,21630	-1,130237524	0,230055738	6374,132362	3441,756135	192	103,6717063	818	149	44,99	175	55	226,29	75	1543,28
Charleston	32,77657	-79,93092	0,572059064	-1,395057728	Salvador	-12,97111	-38,51083	-0,226388577	-0,672140781	79,70453142	-1,244199845	0,638361001	11793,85215	6368,170705	7343	3964,902808	1975	386	108,63	420	50	195,71	75	3210,335
Charleston	32,77657	-79,93092	0,572059064	-1,395057728	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	80,11242936	-1,890034675	0,383610641	8510,779418	4595,453249	3137	1693,844492	940	386	51,70	420	50	110	75	2032,7
Charleston	32,77657	-79,93092	0,572059064	-1,395057728	Cristobal	9,3544	-79,9066	0,16326508	-1,394633264	80,09418508	-1,966692328	0,38603474	8542,52096	4612,592311	2960	1598,272138	1400	386	77,00	420	50	220	75	2628
Charleston	32,77657	-79,93092	0,572059064	-1,395057728	Veracruz	19,4795	-99,08862	0,339981412	-1,72942267	80,27090141	-2,301481734	0,279724083	7101,008578	3834,237893	2604	1406,047516	780	386	42,90	420	50	303,82	75	2057,72
Chiwan	22,49090	113,88450	0,392540257	1,987659492	London Gateway	51,50720	-0,12750	0,898970228	-0,002225295	-112,98553	-0,394765552	0,020017283	1808,838625	976,6947219	21300	11501,07991	2230	356	122,65	87,99	30	226	75	3127,64
Colon container terminal	9,35890	-79,8997	0,163343619	-1,394512836	Antwerp	51,16720	4,20720	0,893036109	0,073429492	80,79273611	-0,089914127	0,184513487	5657,381353	3054,741551		0	1400	371	77,00	235	55	260,39	75	2473,39
Colon container terminal	9,35890	-79,8997	0,163343619	-1,394512836	Le Havre	49,49437	0,10800	0,863839718	0,001884956	80,76353972	-0,161458664	0,195358723	5833,547711	3149,863775	8300	4481,641469	1400	371	77,00	235	55	244,11	75	2457,11
Cristobal	9,35440	-79,9066	0,16326508	-1,394633264	Montoir De Bretagne	47,32660	-2,14998	0,826004994	-0,03752423	80,73260499	-0,200789309	0,207292761	6023,176058	3252,254891	7800	4211,663067	1400	371	77,00	220	56	248	75	2447
Cristobal	9,35440	-79,9066	0,16326508	-1,394633264	Pointe A Pitre	16,23824	-61,53211	0,283410753	-1,073937915	80,19001075	-1,237202995	0,394930138	8658,688834	4675,317945	1570	847,7321814	1400	371	77,00	220	56	361,29	75	2560,29
Cristobal	9,35440	-79,9066	0,16326508	-1,394633264	Kingston	17,99702	-76,79358	0,314107255	-1,340300815	80,22070725	-1,503565895	0,355192358	8135,585139	4392,864546	560	302,3758099	1400	149	77,00	220	56	290	75	2267
Dunkirk	51,03060	2,30202	0,890651989	0,040177828	Moin Apm Terminals	10,00420	-83,07670	0,174606229	-1,449961947	-2,127413771	-2,340613936	0,206489202	6010,53777	3245,430761	10700	5777,537797	1017	208	55,94	248,45	17,33	175	75	1796,715
Fort De France	14,60000	-61,08333	0,254818071	-1,066105227	Cartagena Contecar	10,39972	-75,51444	0,181509355	-1,317975611	61,26483936	-1,572793682	0,410990892	8867,311951	4787,965416	1325	715,4427646	1400	371	77,00	369,97	40,14	110	75	2443,11
Fort De France	14,60000	-61,08333	0,254818071	-1,066105227	Santa Marta	11,24079	-74,19904	0,196188796	-1,29501755	61,2795188	-1,549835621	0,405886117	8801,147754	4752,239608	1260	680,3455724	1400	371	77,00	369,97	40,14	102	75	2435,11
Fort De France	14,60000	-61,08333	0,254818071	-1,066105227	Fort De France	14,60000	-61,08333	0,254818071	-1,066105227	61,33814807	-1,320923297	0,397103484	8687,000647	4690,605101	0	0								
Genoa	44,42640	8,91519	0,775386955	0,155599419	Pointe A Pitre	16,23824	-61,53211	0,283410753	-1,073937915	-8,631779247	-1,84932487	0,316578254	7614,508656	4111,505754	8100	4373,650108	1400	208	77,00	189,87	81,37	361,29	75	2392,53
Guayaquil	-2,27850	-79,90790	-0,039767327	-1,394655953	Dunkirk	51,03060	2,30202	0,890651989	0,040177828	80,79855	0,079945155	0,182324529	5621,346313	3035,284187	11500	6209,50324	1183	371	65,07	150	100	100	75	2044,065
Guayaquil	-2,27850	-79,90790	-0,039767327	-1,394655953	Altamira	23,73425	-99,11011	0,414240808	-1,729797742	80,32214	-1,690030415	0,291911834	7272,880135	3927,041109	3300	1781,857451	900	149	49,50	150	100	120	75	1543,5
Halifax	51,21989	44,03460	0,893955723	0,768548755	Houston	29,75757	-95,35120	0,519367574	-1,664192386	-43,51523	-2,558148109	0,848789747	14926,04278	8059,418347	3700	1997,840173	1400	178	77,00	420	50	440	75	2640
