Puerto salida	Puerto destino	Distancia recorrida (km)	Distancia (mn)	CO2 (t)	Nox (kg)	SOx (kg)	PM10	CO2 (t/TEU)	CO2 (kg/TEU)	Nox (kg/TEU)	SOx (kg/TEU)	PM10 (kg/TEU)	Emisiones (USD/TEU*mn)
Panama	Manzanillo	7877,00	4253,24	2735,91	43560,00	5715,00	4320,00	0,61	551,55	9,68	1,27	0,96	290,8227469
Panama	Port Everglades	2681,00	1447,62	1889,19	14805,00	1980,00	1485,00	0,42	380,85	3,29	0,44	0,33	120,687005
Panama	Cartagena SPRC	13495,00	7286,72	7456,33	70335,00	9180,00	6930,00	1,66	1503,17	15,63	2,04	1,54	535,8522543
Panama	Cristobal	1012,00	546,44	1133,01	5625,00	765,00	585,00	0,25	228,41	1,25	0,17	0,13	55,62934124
Panamá	Cartagena CONTECAR	571,00	308,32	243,32	3240,00	450,00	315,00	0,05	49,05	0,72	0,10	0,07	22,43781598
panama (balboa)	Manzanillo	7905,00	4268,36	7225,07	43425,00	5760,00	4320,00	1,61	1456,55	9,65	1,28	0,96	390,3889536
Pointe a Pitre	Dunkirk	6996,00	3777,54	4419,77	38745,00	5040,00	3780,00	0,98	891,01	8,61	1,12	0,84	301,1525653
Pointe a Pitre	Fort de France	190,00	102,59	120,06	1080,00	180,00	135,00	0,03	24,20	0,24	0,04	0,03	9,171634871
Port Everglades	Barcadera	2330,00	1258,10	2365,34	12825,00	1755,00	1305,00	0,53	476,84	2,85	0,39	0,29	121,3197594
Port Everglades	Cartagena CONTECAR	2085,00	1125,81	1015,20	11565,00	1530,00	1170,00	0,23	204,66	2,57	0,34	0,26	84,23430017
Posorja	Callao	1259,00	679,81	417,29	6975,00	945,00	720,00	0,09	84,12	1,55	0,21	0,16	46,88947382
Posorja	Manzanillo	3633,00	1961,66	871,88	20115,00	2655,00	1980,00	0,19	175,77	4,47	0,59	0,44	125,27964
PSA Panama Int.	Busan	29855,00	16120,41	9820,00	163530,00	21285,00	16020,00	2,18	1979,68	36,34	4,73	3,56	1076,39889
PSA Panama Int.	Los angeles	5492,00	2965,44	3615,98	30465,00	4005,00	3015,00	0,80	728,97	6,77	0,89	0,67	241,099612
PSA Panama Int.	Cartagena CONTECAR	1347,00	727,32	1129,91	7425,00	1035,00	765,00	0,25	227,79	1,65	0,23	0,17	65,20567355
Puerto Barrios	Cartagena CONTECAR	1701,00		138848,00	9450,00	9450,00	1260,00	30,86	27991,29	2,10	2,10	0,28	3168,460013
puerto barrios	houston	5270,00	2845,57	1906,38	29205,00	3825,00	2880,00	0,42	384,32	6,49	0,85	0,64	196,1639416
Puerto Cabello	Manzanillo	1948,00	1051,84	1590,08	1590,08	1440,00	1080,00	0,35	320,55	0,35	0,32	0,24	70,09484712
Puerto Cortes	puerto barrios	120,00	64,79	97,97	675, 00	90, 00	90, 00	0,02	19,75				2,177111111
Puerto de Posorja	Guayaquil	92,00	49,68	49,91	540,00	90,00	90,00	0,01	10,06	0,12	0,02	0,02	4,912084044
Qingdao	busan	890,00	480,56	706,01	4950,00	675,00	495,00	0,16	142,33	1,10	0,15	0,11	42,00678612
Rio de Janeiro	Cartagena CONTECAR	7478,00	4037,80	2643,30	41400,00	5400,00	4050,00	0,59	532,88	9,20	1,20	0,90	275,895266
Rio de Janeiro	Cartagena SPRC	9187,00	4960,58	3198,20	50895,00	6615,00	4995,00	0,71	644,75	11,31	1,47	1,11	338,3539696
Rio Haina	Miami	26765,00	14451,94	15030,78	148230,00	19350,00	14490,00	3,34	3030,16	32,94	4,30	3,22	1111,311931
Rio Haina	San Juan	444,00	239,74	294,80	2475,00	360,00	270,00	0,07	59,43	0,55	0,08	0,06	20,32999855
Rotterdam	London Gateway	161,00	86,93	94,82	900, 00	135, 00	90, 00	0,02	19,12				2,107111111
Rotterdam	Hamburg CTB	403,00	217,60	354,78	2250, 00	315, 00	225, 00	0,08	71,52				7,884
Salvador	Cartagena CONTECAR	6111,00	3299,68	2160,09	33840,00	4410,00	3330,00	0,48	435,47	7,52	0,98	0,74	225,9701101
San Antonio (Chile)	Callao	2452,00	1323,97	1398,92	13590, 00	1800, 00	1350, 00	0,31	282,02				31,08711111
San Juan	Caucedo	396,00	213,82	373,46	2205, 00	315, 00	225, 00	0,08	75,29				8,299111111
Santa Marta	Cartagena CONTECAR	1690,00	912,53	1067,67	9360, 00	1260, 00	945, 00	0,24	215,24				23,726
Santa Marta	Rio Haina	1537,00	829,91	1412,37	8505,00	1170,00	900,00	0,31	284,73	1,89	0,26	0,20	77,84840844
Santa Marta	Fort de France	1500,00	809,94	947,66	8325, 00	1080, 00	810, 00	0,21	191,05				21,05911111
Santa Marta	manzanillo	7953,00	4294,28	871, 88	20115, 00	2655, 00	1980, 00	#VALOR!	#VALOR!				
Savannah	Willemstad	3047,00	1645,25	2975,68	16920,00	2250,00	1665,00	0,66	599,89	3,76	0,50	0,37	155,2480662
Shanghai	Busan	807,00	435,75	380,48	4500, 00	585, 00	450, 00	0,08	76,70				8,455111111
tauranga	manzanillo	24993,00	13495,14	3804,30	55440, 00	7245, 00	5445, 00	0,85	766,93				
Valencia	Pointe a Pitre	6965,00	3760,80	3775,55	38565,00	5040,00	3780,00	0,84	761,14	8,57	1,12	0,84	286,3956409
valparaiso	panama (balboa)	10865,00	5866,63	1181,34	18180, 00	2385, 00	1800, 00	0,26	238,15				
Veracruz	Altamira	438,00	236,50	171,45	2430, 00	360, 00	270, 00	0,04	34,56				3,81
Veracruz	Kingston	3768,00	2034,56	1331, 91	20880, 00	2745, 00	2070, 00	#VALOR!	#VALOR!				
Veracruz ICAVE	Santa Marta	4872,00	2630,67	1359,54	11925, 00	1575, 00	1170, 00	0,30	274,08				30,212
Willemstad	Cartagena CONTECAR	5005,00	2702,48	3588,75	27720,00	3645,00	2745,00	0,80	723,48	6,16	0,81	0,61	226,0542268
Willemstad	Puerto Cabello	440,00	237,58	348, 30	2475, 00	360, 00	270, 00	#VALOR!	#VALOR!				
Willemstad	Norfolk	5139,00	2774,84	3339,86	28485,00	3780,00	2790,00	0,74	673,30	6,33	0,84	0,62	223,9129442
